"","checking_status","duration","credit_history","purpose","credit_amount","savings_status","employment","installment_commitment","gender","other_parties","residence_since","property_magnitude","age","other_payment_plans","housing","existing_credits","job","num_dependents","own_telephone","foreign_worker","class"
"1770","<0",43,"taking credits","consumer goods",7145,">=1000","4<=X<7",3.51,"female","guarantor",3,"car",31,"stores","own",1,"high qualified","1","yes","yes","bad"
"1771","<0",24,"taking credits","car purchase",2375,"100<=X<500",">=7",1.84,"male","none",1,"car",34,"bank","own",1,"skilled","1","no","yes","bad"
"1772","0<=X<200",33,"taking credits","consumer goods",2388,"500<=X<1000","0<X<1",3.72,"male","none",1,"life insurance",34,"bank","own",1,"unskilled foreign","1","no","yes","bad"
"1773",">=200",12,"taking credits","education",719,"<100","0<X<1",4,"male","none",4,"car",41,"bank","own",1,"unskilled resident","2","no","yes","bad"
"1774","0<=X<200",12,"taking credits","consumer goods",766,"500<=X<1000","1<=X<4",4,"male","none",3,"real estate",66,"stores","own",1,"unskilled resident","1","no","yes","bad"
"1775","<0",20,"taking credits","car purchase",1281,">=1000","4<=X<7",3.67,"female","none",3,"unknown",32,"stores","own",1,"skilled","1","no","yes","bad"
"1776","<0",42,"taking credits","consumer goods",3965,"<100","0<X<1",4,"male","none",3,"car",34,"stores","own",1,"skilled","1","no","yes","bad"
"1777",">=200",18,"taking credits","business",4163,"500<=X<1000","1<=X<4",2.03,"male","none",2,"car",36,"stores","own",2,"skilled","2","no","yes","bad"
"1778","0<=X<200",12,"taking credits","consumer goods",1110,"<100","4<=X<7",4,"male","none",3,"unknown",28,"stores","for free",2,"skilled","1","no","yes","bad"
"1779","<0",20,"taking credits","consumer goods",1284,">=1000","1<=X<4",3.36,"female","none",4,"life insurance",28,"stores","rent",1,"skilled","1","no","yes","bad"
"1780","0<=X<200",8,"paid fully","consumer goods",937,"100<=X<500","0<X<1",1.94,"female","none",2,"car",30,"stores","own",2,"unskilled foreign","1","no","yes","bad"
"1781","0<=X<200",12,"taking credits","other",893,"<100","0<X<1",4,"male","none",4,"car",34,"bank","own",1,"unskilled foreign","2","no","yes","bad"
"1782","no checking",36,"critical","consumer goods",7127,"<100","0<X<1",2,"female","none",4,"life insurance",23,"stores","rent",2,"skilled","1","yes","yes","bad"
"1783","no checking",48,"critical","car purchase",11590,"100<=X<500","1<=X<4",2,"female","none",4,"car",24,"bank","rent",2,"unskilled resident","1","no","yes","bad"
"1784",">=200",12,"taking credits","education",720,"500<=X<1000","0<X<1",4,"male","none",4,"car",40,"bank","own",1,"unskilled resident","2","no","yes","bad"
"1785","no checking",24,"taking credits","business",4591,">=1000","1<=X<4",2,"male","none",3,"life insurance",41,"stores","own",3,"high qualified","1","yes","yes","bad"
"1786","<0",44,"taking credits","repairs",4603,"<100","0<X<1",2.84,"male","none",4,"life insurance",29,"stores","for free",2,"high qualified","2","no","yes","bad"
"1787","<0",20,"taking credits","other",3170,"<100","1<=X<4",2.61,"female","none",2,"unknown",25,"stores","own",1,"skilled","1","no","yes","bad"
"1788","0<=X<200",40,"taking credits","car purchase",14265,"<100","0<X<1",4,"male","none",2,"unknown",51,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1789","<0",18,"paid fully","consumer goods",1553,"<100","1<=X<4",4,"male","none",3,"car",32,"bank","own",1,"skilled","1","no","yes","bad"
"1790","<0",24,"taking credits","car purchase",4817,"<100","4<=X<7",2,"male","co applicant",3,"life insurance",31,"stores","own",1,"skilled","1","yes","yes","bad"
"1791","0<=X<200",12,"taking credits","consumer goods",1534,"<100","0<X<1",1,"male","none",1,"real estate",23,"stores","rent",1,"skilled","1","no","yes","bad"
"1792","0<=X<200",12,"delayed previously","other",1664,"<100","4<=X<7",4,"female","none",2,"car",27,"stores","own",1,"skilled","1","no","yes","bad"
"1793","0<=X<200",48,"delayed previously","other",5952,"<100","1<=X<4",2.04,"female","none",2,"unknown",22,"bank","own",1,"skilled","1","no","yes","bad"
"1794","0<=X<200",21,"critical","other",1216,"100<=X<500","0<X<1",4,"male","none",4,"life insurance",31,"bank","own",2,"skilled","2","no","yes","bad"
"1795","<0",15,"critical","other",1271,">=1000","1<=X<4",3,"male","none",4,"unknown",40,"stores","for free",2,"skilled","1","no","yes","bad"
"1796","0<=X<200",31,"taking credits","consumer goods",3441,"100<=X<500","1<=X<4",2.18,"female","co applicant",4,"car",23,"stores","own",1,"skilled","1","no","yes","bad"
"1797","<0",34,"delayed previously","repairs",6279,"<100","4<=X<7",4,"male","none",3,"life insurance",39,"stores","for free",2,"skilled","1","yes","yes","bad"
"1798","0<=X<200",45,"taking credits","consumer goods",3031,"100<=X<500","1<=X<4",4,"male","guarantor",4,"life insurance",21,"stores","rent",1,"skilled","1","no","yes","bad"
"1799","<0",19,"paid fully","car purchase",1442,"<100","4<=X<7",4,"male","none",4,"life insurance",30,"stores","for free",2,"unskilled foreign","2","no","yes","bad"
"1800","<0",35,"taking credits","car purchase",3942,"<100","1<=X<4",3.6,"male","none",3,"life insurance",39,"stores","for free",1,"skilled","2","no","yes","bad"
"1801","<0",9,"taking credits","car purchase",1422,"<100","1<=X<4",3,"male","none",2,"unknown",27,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1802","0<=X<200",29,"taking credits","business",3915,"<100","1<=X<4",4,"male","none",2,"car",36,"stores","own",1,"skilled","2","yes","yes","bad"
"1803","0<=X<200",12,"taking credits","consumer goods",781,"500<=X<1000","4<=X<7",4,"male","none",4,"life insurance",59,"stores","own",1,"skilled","1","no","yes","bad"
"1804",">=200",35,"delayed previously","consumer goods",3350,"<100","1<=X<4",3.92,"female","none",2,"car",28,"stores","own",1,"high qualified","1","yes","yes","bad"
"1805","<0",48,"taking credits","business",4308,"<100","0<X<1",3,"female","none",4,"life insurance",24,"stores","rent",1,"skilled","1","no","yes","bad"
"1806","<0",36,"taking credits","consumer goods",3446,"<100",">=7",4,"male","none",2,"car",42,"stores","own",1,"skilled","2","no","yes","bad"
"1807","no checking",36,"delayed previously","business",7980,"no known savings","0<X<1",4,"male","none",4,"car",27,"stores","rent",2,"skilled","1","yes","yes","bad"
"1808","0<=X<200",21,"taking credits","car purchase",2039,"<100","1<=X<4",1,"female","none",3,"unknown",21,"bank","own",1,"skilled","1","no","yes","bad"
"1809","<0",21,"paid fully","car purchase",1647,"no known savings","1<=X<4",4,"male","none",2,"life insurance",40,"stores","own",2,"unskilled resident","2","no","yes","bad"
"1810","<0",40,"delayed previously","consumer goods",4393,"<100","1<=X<4",3.25,"male","none",2,"car",26,"bank","own",2,"high qualified","2","yes","yes","bad"
"1811","<0",16,"critical","car purchase",2625,"<100",">=7",2,"male","guarantor",4,"life insurance",43,"bank","rent",1,"skilled","1","yes","yes","bad"
"1812","<0",13,"taking credits","consumer goods",1282,"500<=X<1000","1<=X<4",2.23,"female","none",4,"car",21,"stores","own",1,"skilled","1","no","yes","bad"
"1813","0<=X<200",14,"taking credits","other",1363,"<100","0<X<1",3,"female","none",4,"car",23,"stores","own",1,"skilled","1","no","yes","bad"
"1814","0<=X<200",36,"taking credits","car purchase",14318,"<100",">=7",4,"male","none",2,"unknown",57,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1815","0<=X<200",24,"critical","consumer goods",4774,"<100","4<=X<7",2,"male","guarantor",4,"car",28,"bank","own",1,"unskilled foreign","1","no","yes","bad"
"1816","0<=X<200",44,"critical","consumer goods",5125,"<100","1<=X<4",2.71,"male","none",3,"car",30,"stores","own",1,"high qualified","1","no","yes","bad"
"1817","0<=X<200",47,"taking credits","other",10972,"<100","1<=X<4",1.03,"male","co applicant",2,"life insurance",27,"bank","own",2,"high qualified","1","yes","yes","bad"
"1818",">=200",20,"paid fully","business",609,"<100","0<X<1",4,"female","none",1,"real estate",26,"stores","own",1,"unskilled foreign","1","no","yes","bad"
"1819","0<=X<200",21,"delayed previously","business",1188,"<100",">=7",2,"female","none",4,"life insurance",40,"stores","for free",1,"skilled","2","no","yes","bad"
"1820","<0",12,"delayed previously","retraining",902,"<100","4<=X<7",4,"male","none",4,"life insurance",21,"stores","rent",1,"skilled","1","no","yes","bad"
"1821","0<=X<200",12,"taking credits","car purchase",1080,"<100","1<=X<4",3.93,"male","guarantor",4,"car",47,"bank","own",2,"skilled","1","no","yes","bad"
"1822","0<=X<200",24,"taking credits","car purchase",2992,"500<=X<1000","4<=X<7",4,"male","guarantor",3,"life insurance",23,"stores","rent",2,"skilled","1","no","yes","bad"
"1823","<0",18,"critical","repairs",1190,"<100","0",2,"female","none",4,"unknown",55,"stores","for free",3,"unskilled foreign","2","no","yes","bad"
"1824","<0",24,"delayed previously","consumer goods",1659,"<100","0<X<1",4,"female","none",2,"car",29,"stores","rent",1,"unskilled resident","1","yes","yes","bad"
"1825","<0",21,"taking credits","other",3172,"<100","1<=X<4",2,"female","none",2,"unknown",26,"stores","own",1,"skilled","1","no","yes","bad"
"1826","0<=X<200",24,"delayed previously","consumer goods",2061,"<100",">=7",2.74,"female","none",3,"life insurance",32,"stores","own",1,"high qualified","1","yes","yes","bad"
"1827","<0",12,"taking credits","retraining",902,"<100","4<=X<7",4,"male","none",4,"life insurance",21,"stores","rent",1,"skilled","1","no","yes","bad"
"1828","0<=X<200",19,"critical","consumer goods",4293,"<100",">=7",4,"male","none",3,"life insurance",39,"stores","own",1,"high qualified","1","no","yes","bad"
"1829","0<=X<200",45,"delayed previously","car purchase",5970,"<100","1<=X<4",2.79,"male","none",2,"unknown",24,"bank","own",1,"skilled","1","no","yes","bad"
"1830","0<=X<200",9,"critical","education",1136,">=1000",">=7",4,"male","none",3,"unknown",32,"stores","for free",2,"skilled","2","no","yes","bad"
"1831","0<=X<200",12,"taking credits","car purchase",898,">=1000","1<=X<4",4,"male","none",2,"car",26,"bank","own",1,"skilled","1","no","yes","bad"
"1832","0<=X<200",24,"taking credits","other",11328,"<100","1<=X<4",2,"male","co applicant",3,"car",29,"bank","own",2,"high qualified","1","yes","yes","bad"
"1833","<0",14,"taking credits","education",1275,">=1000","1<=X<4",3.62,"female","none",2,"life insurance",29,"stores","own",1,"skilled","1","no","yes","bad"
"1834","0<=X<200",29,"paid fully","business",4274,"100<=X<500","1<=X<4",3.53,"female","none",4,"car",28,"stores","own",2,"unskilled resident","1","no","yes","bad"
"1835","<0",12,"delayed previously","other",702,"<100",">=7",4,"male","none",4,"unknown",48,"stores","own",1,"unskilled foreign","1","no","yes","bad"
"1836","<0",40,"critical","education",5998,"<100","1<=X<4",4,"male","none",3,"unknown",27,"bank","own",1,"skilled","1","yes","yes","bad"
"1837","0<=X<200",48,"paid fully","other",18424,"<100","1<=X<4",1,"female","co applicant",2,"life insurance",32,"bank","own",1,"high qualified","1","yes","no","bad"
"1838","0<=X<200",9,"paid fully","car purchase",1437,"100<=X<500","4<=X<7",2,"male","none",3,"unknown",29,"stores","own",1,"skilled","1","no","yes","bad"
"1839","0<=X<200",18,"delayed previously","consumer goods",2040,"<100","1<=X<4",1.05,"female","none",4,"unknown",20,"bank","own",1,"high qualified","1","no","yes","bad"
"1840","<0",35,"taking credits","other",6759,"<100","1<=X<4",2.58,"male","none",3,"car",47,"stores","own",1,"skilled","1","no","yes","bad"
"1841","<0",18,"critical","car purchase",3966,"<100",">=7",1,"female","none",4,"real estate",33,"bank","rent",3,"skilled","1","yes","yes","bad"
"1842","<0",30,"taking credits","repairs",11998,"<100","0<X<1",1,"male","none",1,"unknown",34,"stores","own",1,"unskilled resident","1","yes","yes","bad"
"1843","<0",12,"paid fully","consumer goods",626,"<100","1<=X<4",4,"female","none",4,"real estate",24,"bank","own",1,"unskilled resident","1","no","yes","bad"
"1844","<0",40,"delayed previously","consumer goods",4393,"<100","1<=X<4",3.25,"male","none",2,"car",26,"bank","own",2,"high qualified","2","yes","yes","bad"
"1845","<0",46,"delayed previously","consumer goods",4328,"<100","4<=X<7",3,"female","none",3,"life insurance",25,"bank","own",1,"skilled","1","no","yes","bad"
"1846","0<=X<200",12,"taking credits","car purchase",685,"<100","4<=X<7",2,"male","none",3,"car",25,"bank","own",1,"unskilled resident","1","no","yes","bad"
"1847","0<=X<200",24,"taking credits","retraining",12580,"500<=X<1000","0<X<1",3.12,"female","none",2,"unknown",44,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1848","no checking",18,"taking credits","consumer goods",1533,"<100","0<X<1",4,"male","co applicant",1,"life insurance",43,"stores","own",1,"unskilled resident","2","no","yes","bad"
"1849","<0",24,"taking credits","consumer goods",1987,"<100","1<=X<4",2,"male","none",4,"real estate",21,"stores","rent",1,"unskilled resident","2","no","yes","bad"
"1850","<0",48,"paid fully","car purchase",4605,"<100",">=7",3,"male","none",4,"unknown",24,"stores","for free",2,"skilled","2","no","yes","bad"
"1851","<0",21,"paid fully","car purchase",1647,"no known savings","1<=X<4",4,"male","none",2,"life insurance",40,"stores","own",2,"unskilled resident","2","no","yes","bad"
"1852","<0",6,"critical","consumer goods",3384,"<100","1<=X<4",1,"male","none",4,"real estate",44,"stores","rent",1,"high qualified","1","yes","yes","bad"
"1853","<0",18,"taking credits","consumer goods",1129,"<100",">=7",4,"female","none",2,"car",33,"bank","own",1,"skilled","1","no","yes","bad"
"1854","<0",12,"taking credits","car purchase",900,"no known savings","1<=X<4",4,"male","none",2,"car",23,"stores","own",1,"skilled","1","no","yes","bad"
"1855","<0",18,"taking credits","consumer goods",1882,"<100","1<=X<4",4,"female","none",4,"car",25,"bank","rent",2,"skilled","1","no","yes","bad"
"1856","0<=X<200",24,"taking credits","car purchase",2992,"500<=X<1000","4<=X<7",4,"male","guarantor",3,"life insurance",23,"stores","rent",2,"skilled","1","no","yes","bad"
"1857","<0",30,"taking credits","car purchase",4000,"<100","1<=X<4",3.15,"male","none",2,"car",43,"stores","own",1,"unskilled foreign","1","no","yes","bad"
"1858","0<=X<200",24,"taking credits","car purchase",1370,">=1000","1<=X<4",3.92,"female","none",4,"unknown",25,"stores","own",1,"skilled","1","no","yes","bad"
"1859","0<=X<200",33,"critical","consumer goods",4281,"500<=X<1000","1<=X<4",1.04,"female","none",4,"car",23,"stores","own",2,"high qualified","1","no","yes","bad"
"1860","<0",22,"delayed previously","education",7948,"<100","4<=X<7",3.58,"male","none",3,"unknown",41,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1861","no checking",36,"taking credits","consumer goods",10974,"<100","0",4,"female","none",2,"car",26,"stores","own",2,"high qualified","1","yes","yes","bad"
"1862","<0",36,"taking credits","consumer goods",5179,"<100","4<=X<7",4,"male","none",2,"life insurance",29,"stores","own",1,"skilled","1","no","yes","bad"
"1863","0<=X<200",11,"paid fully","retraining",5134,"<100","0<X<1",2.18,"female","none",4,"life insurance",70,"bank","for free",1,"high qualified","2","no","yes","bad"
"1864","<0",12,"paid fully","repairs",1108,"<100","4<=X<7",4,"male","none",3,"real estate",28,"stores","own",2,"skilled","1","no","yes","bad"
"1865","<0",31,"taking credits","consumer goods",2308,"<100","1<=X<4",3.48,"female","none",4,"car",29,"stores","own",1,"skilled","1","no","yes","bad"
"1866","no checking",36,"delayed previously","consumer goods",4463,"<100","1<=X<4",4,"male","none",2,"car",26,"stores","own",2,"high qualified","1","yes","yes","bad"
"1867","no checking",36,"taking credits","consumer goods",3349,"<100","1<=X<4",4,"female","none",2,"car",28,"stores","own",1,"high qualified","1","yes","yes","bad"
"1868","<0",12,"taking credits","car purchase",1274,"<100","0<X<1",3,"female","none",1,"real estate",37,"stores","own",1,"unskilled resident","1","no","yes","bad"
"1869","0<=X<200",44,"critical","consumer goods",5125,"<100","1<=X<4",2.71,"male","none",3,"car",30,"stores","own",1,"high qualified","1","no","yes","bad"
"1870","<0",12,"paid fully","car purchase",622,"<100","1<=X<4",4,"female","none",3,"real estate",24,"bank","own",1,"unskilled foreign","1","no","yes","bad"
"1871","0<=X<200",48,"taking credits","consumer goods",10155,"<100","4<=X<7",2.74,"male","none",3,"life insurance",34,"stores","for free",2,"skilled","2","yes","yes","bad"
"1872","0<=X<200",20,"taking credits","car purchase",1351,"<100","4<=X<7",3.41,"female","none",4,"life insurance",25,"bank","own",1,"unskilled foreign","1","no","yes","bad"
"1873","<0",12,"critical","consumer goods",2240,"<100","0<X<1",2.83,"male","none",3,"life insurance",54,"bank","own",2,"skilled","1","no","yes","bad"
"1874","0<=X<200",36,"paid fully","business",1953,"<100",">=7",4,"male","none",4,"unknown",61,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1875","0<=X<200",35,"taking credits","consumer goods",3445,"500<=X<1000","0<X<1",3.63,"male","guarantor",2,"car",38,"stores","own",1,"skilled","2","no","yes","bad"
"1876","<0",17,"critical","car purchase",2235,"<100","1<=X<4",4,"male","guarantor",2,"life insurance",33,"bank","rent",2,"skilled","1","no","no","bad"
"1877","<0",24,"delayed previously","consumer goods",3125,"<100","4<=X<7",4,"female","none",1,"life insurance",27,"stores","own",1,"skilled","1","no","yes","bad"
"1878","0<=X<200",18,"critical","consumer goods",1928,"<100","0<X<1",2,"male","none",2,"real estate",31,"stores","own",2,"unskilled resident","1","no","yes","bad"
"1879","0<=X<200",27,"taking credits","car purchase",14488,"<100",">=7",3.12,"male","none",3,"unknown",60,"bank","for free",1,"high qualified","1","yes","yes","bad"
"1880","0<=X<200",13,"critical","education",1134,"<100",">=7",4,"male","none",3,"life insurance",32,"stores","for free",2,"skilled","2","no","yes","bad"
"1881","<0",15,"taking credits","consumer goods",2814,"<100","4<=X<7",1.51,"male","none",1,"unknown",30,"bank","own",1,"unskilled foreign","2","no","yes","bad"
"1882","0<=X<200",24,"delayed previously","consumer goods",4796,"<100","4<=X<7",2,"male","co applicant",3,"car",29,"bank","own",1,"skilled","1","no","yes","bad"
"1883",">=200",46,"taking credits","business",3899,">=1000","1<=X<4",4,"female","none",2,"unknown",39,"bank","own",1,"skilled","1","no","yes","bad"
"1884","<0",19,"taking credits","other",3361,"<100",">=7",3.61,"male","none",3,"life insurance",37,"stores","own",1,"high qualified","1","yes","yes","bad"
"1885","0<=X<200",22,"critical","other",1217,"100<=X<500","0<X<1",3.55,"male","none",4,"unknown",39,"bank","own",2,"skilled","2","no","yes","bad"
"1886","0<=X<200",12,"critical","consumer goods",1194,"<100",">=7",3.22,"female","none",4,"life insurance",37,"stores","for free",1,"skilled","1","no","yes","bad"
"1887","<0",35,"taking credits","car purchase",3942,"<100","1<=X<4",3.6,"male","none",3,"life insurance",39,"stores","for free",1,"skilled","2","no","yes","bad"
"1888","<0",18,"taking credits","consumer goods",4153,"<100","1<=X<4",2,"male","co applicant",3,"car",42,"stores","own",1,"skilled","1","no","yes","bad"
"1889","0<=X<200",12,"taking credits","consumer goods",891,"<100","0<X<1",4,"male","none",4,"car",40,"bank","own",1,"unskilled foreign","2","no","yes","bad"
"1890","0<=X<200",15,"critical","other",892,"<100","0<X<1",4,"male","none",4,"life insurance",30,"bank","own",1,"skilled","2","no","yes","bad"
"1891","0<=X<200",36,"taking credits","repairs",2384,"<100","0<X<1",3.84,"male","none",1,"unknown",33,"stores","rent",1,"unskilled resident","1","no","yes","bad"
"1892","<0",21,"delayed previously","education",3414,"<100","0<X<1",2,"male","none",1,"life insurance",26,"stores","own",2,"skilled","1","no","yes","bad"
"1893","0<=X<200",7,"paid fully","car purchase",932,"100<=X<500","4<=X<7",1.26,"female","none",1,"life insurance",32,"stores","own",1,"unskilled foreign","1","no","yes","bad"
"1894","no checking",18,"taking credits","consumer goods",1533,"<100","0<X<1",4,"male","co applicant",1,"life insurance",43,"stores","own",1,"unskilled resident","2","no","yes","bad"
"1895","<0",24,"critical","car purchase",3575,"500<=X<1000","4<=X<7",2.66,"male","none",4,"car",28,"bank","own",1,"skilled","1","no","yes","bad"
"1896","<0",48,"critical","car purchase",6143,"<100",">=7",4,"female","none",4,"unknown",58,"bank","for free",2,"unskilled resident","1","no","yes","bad"
"1897","0<=X<200",21,"paid fully","consumer goods",1543,"<100","4<=X<7",3.37,"male","guarantor",3,"car",24,"bank","rent",1,"unskilled foreign","1","no","yes","bad"
"1898","0<=X<200",21,"critical","other",2543,"500<=X<1000","1<=X<4",4,"male","none",2,"life insurance",27,"stores","own",2,"unskilled resident","1","no","yes","bad"
"1899","<0",12,"paid fully","car purchase",1082,"<100","1<=X<4",4,"male","none",4,"car",48,"bank","own",1,"skilled","1","no","yes","bad"
"1900","0<=X<200",15,"critical","car purchase",1769,"<100","0<X<1",2.16,"female","none",1,"unknown",26,"stores","own",2,"skilled","1","no","yes","bad"
"1901","<0",36,"delayed previously","education",6887,"<100","1<=X<4",4,"male","none",3,"life insurance",29,"bank","own",1,"skilled","1","yes","yes","bad"
"1902","no checking",18,"critical","education",1864,"100<=X<500","1<=X<4",4,"female","none",2,"real estate",30,"stores","own",2,"skilled","1","no","yes","bad"
"1903","0<=X<200",24,"critical","car purchase",1357,">=1000","0<X<1",4,"male","none",3,"car",34,"stores","own",1,"skilled","1","yes","yes","bad"
"1904","<0",15,"taking credits","car purchase",903,"no known savings","1<=X<4",4,"male","none",2,"car",24,"bank","own",1,"skilled","1","no","yes","bad"
"1905",">=200",46,"critical","retraining",11644,"100<=X<500","1<=X<4",1.87,"female","none",4,"car",25,"bank","own",2,"unskilled resident","1","no","yes","bad"
"1906","0<=X<200",18,"taking credits","car purchase",1042,"no known savings","1<=X<4",4,"female","none",3,"life insurance",33,"stores","own",1,"skilled","1","no","yes","bad"
"1907","0<=X<200",19,"critical","other",1219,"100<=X<500","0<X<1",2.77,"male","none",3,"unknown",41,"bank","own",2,"skilled","2","no","yes","bad"
"1908","no checking",36,"delayed previously","business",7980,"no known savings","0<X<1",4,"male","none",4,"car",27,"stores","rent",2,"skilled","1","yes","yes","bad"
"1909","<0",21,"paid fully","car purchase",2310,"<100","0<X<1",3.39,"male","co applicant",2,"real estate",39,"stores","own",1,"skilled","1","no","yes","bad"
"1910","<0",12,"paid fully","consumer goods",698,"<100","0<X<1",4,"male","none",2,"car",46,"bank","own",2,"skilled","1","no","yes","bad"
"1911","0<=X<200",11,"taking credits","car purchase",679,"<100","1<=X<4",2.4,"male","none",3,"car",26,"bank","own",1,"unskilled resident","1","no","yes","bad"
"1912","0<=X<200",48,"taking credits","consumer goods",3060,"<100","4<=X<7",4,"male","none",4,"real estate",28,"stores","own",2,"skilled","1","no","yes","bad"
"1913","0<=X<200",24,"taking credits","car purchase",1362,"<100","4<=X<7",3.42,"female","none",4,"life insurance",25,"stores","own",1,"unskilled foreign","1","no","yes","bad"
"1914","0<=X<200",39,"taking credits","education",6330,">=1000","0<X<1",4,"male","none",4,"life insurance",34,"stores","for free",1,"skilled","1","no","yes","bad"
"1915","<0",15,"taking credits","car purchase",904,"no known savings","1<=X<4",4,"male","none",2,"car",24,"bank","own",1,"skilled","1","no","yes","bad"
"1916","<0",24,"paid fully","consumer goods",6872,"<100","0<X<1",2,"male","none",1,"life insurance",55,"bank","own",1,"skilled","1","yes","yes","bad"
"1917","0<=X<200",21,"delayed previously","consumer goods",1217,"500<=X<1000","1<=X<4",4,"male","none",3,"unknown",43,"bank","own",1,"unskilled foreign","1","no","yes","bad"
"1918","<0",19,"taking credits","car purchase",909,"no known savings","4<=X<7",4,"female","none",2,"car",27,"bank","own",1,"skilled","1","no","yes","bad"
"1919","<0",22,"taking credits","consumer goods",949,"<100","1<=X<4",3.52,"male","none",3,"life insurance",37,"bank","for free",1,"skilled","2","no","no","bad"
"1920","0<=X<200",24,"taking credits","car purchase",1355,"<100","0<X<1",3,"female","none",4,"car",25,"stores","own",1,"unskilled resident","1","yes","yes","bad"
"1921","0<=X<200",40,"taking credits","car purchase",14220,"<100","0<X<1",2.9,"male","none",2,"life insurance",26,"stores","own",1,"high qualified","1","yes","yes","bad"
"1922","0<=X<200",24,"taking credits","car purchase",1246,"<100","0<X<1",4,"male","none",2,"real estate",23,"stores","own",1,"unskilled resident","1","no","yes","bad"
"1923",">=200",10,"delayed previously","education",1977,"<100","0<X<1",2.13,"female","co applicant",2,"car",20,"stores","own",2,"skilled","1","no","yes","bad"
"1924","0<=X<200",19,"critical","education",1136,">=1000",">=7",4,"male","none",3,"unknown",32,"stores","for free",2,"skilled","2","no","yes","bad"
"1925","0<=X<200",13,"critical","education",1134,"<100",">=7",4,"male","none",3,"life insurance",32,"stores","for free",2,"skilled","2","no","yes","bad"
"1926","<0",12,"critical","car purchase",694,"<100",">=7",4,"male","none",3,"life insurance",39,"stores","own",2,"skilled","1","no","yes","bad"
"1927","<0",18,"paid fully","consumer goods",1553,"<100","1<=X<4",4,"male","none",3,"car",44,"bank","own",1,"skilled","1","no","yes","bad"
"1928","<0",18,"taking credits","consumer goods",2462,"<100","1<=X<4",2,"male","none",2,"car",22,"stores","own",1,"skilled","1","no","yes","bad"
"1929","<0",9,"taking credits","consumer goods",1337,"<100","0<X<1",3.9,"male","none",2,"car",33,"stores","own",2,"high qualified","1","no","yes","bad"
"1930","0<=X<200",16,"delayed previously","consumer goods",2771,">=1000","0<X<1",1.47,"female","none",2,"car",25,"bank","own",1,"skilled","1","no","yes","bad"
"1931","0<=X<200",33,"taking credits","consumer goods",2388,"500<=X<1000","0<X<1",3.72,"male","none",1,"life insurance",34,"bank","own",1,"unskilled foreign","1","no","yes","bad"
"1932","<0",48,"taking credits","car purchase",10297,"<100","4<=X<7",4,"male","none",4,"unknown",39,"stores","for free",3,"skilled","2","yes","yes","bad"
"1933","no checking",27,"taking credits","car purchase",2570,"<100","1<=X<4",3,"female","none",3,"real estate",21,"stores","rent",1,"skilled","1","no","yes","bad"
"1934","<0",6,"taking credits","car purchase",14896,"<100",">=7",1,"male","none",4,"unknown",68,"bank","own",1,"high qualified","1","yes","yes","bad"
"1935","<0",12,"taking credits","consumer goods",7865,"<100",">=7",4,"male","none",4,"unknown",53,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1936","<0",20,"delayed previously","consumer goods",2492,"<100",">=7",4,"male","none",2,"car",32,"stores","own",1,"unskilled foreign","1","no","yes","bad"
"1937","0<=X<200",21,"critical","other",1216,"100<=X<500","0<X<1",4,"male","none",4,"life insurance",31,"bank","own",2,"skilled","2","no","yes","bad"
"1938","<0",24,"critical","car purchase",3575,"500<=X<1000","4<=X<7",2.66,"male","none",4,"car",28,"bank","own",1,"skilled","1","no","yes","bad"
"1939","0<=X<200",15,"taking credits","consumer goods",1275,">=1000","1<=X<4",4,"female","none",2,"car",24,"stores","rent",1,"skilled","1","no","yes","bad"
"1940","<0",36,"taking credits","education",1977,"no known savings",">=7",4,"male","none",4,"unknown",40,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1941","no checking",18,"critical","car purchase",2775,"<100","4<=X<7",2,"male","none",2,"life insurance",31,"bank","own",2,"skilled","1","no","yes","bad"
"1942","<0",22,"delayed previously","education",7948,"<100","4<=X<7",3.58,"male","none",3,"unknown",41,"stores","for free",1,"high qualified","1","yes","yes","bad"
"1943","<0",16,"taking credits","car purchase",1221,"<100","4<=X<7",4,"female","none",3,"life insurance",23,"stores","own",1,"skilled","1","no","yes","bad"
"1944","<0",24,"paid fully","education",3536,"<100","4<=X<7",2.89,"male","none",4,"car",27,"bank","own",1,"skilled","1","no","yes","bad"
"1945","<0",24,"taking credits","car purchase",1371,"no known savings","1<=X<4",4,"female","none",4,"real estate",25,"stores","rent",1,"skilled","1","no","yes","bad"
"1946","<0",30,"taking credits","repairs",11998,"<100","0<X<1",1,"male","none",1,"unknown",34,"stores","own",1,"unskilled resident","1","yes","yes","bad"
"1947","0<=X<200",24,"taking credits","consumer goods",4057,"<100","4<=X<7",3,"male","none",3,"car",43,"stores","own",1,"skilled","1","yes","yes","bad"
"1948","<0",22,"delayed previously","car purchase",4821,"<100","4<=X<7",2.16,"male","co applicant",3,"life insurance",33,"stores","own",1,"skilled","1","yes","yes","bad"
